datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:11.8,0.499986678,-0.056537218,-0.234533474,-0.022216797,0.008789063,0.835693359,-5603.046387,2822.579346,5759.274414,59,1
37:12.0,0.262643635,-0.01576649,-0.141198888,-0.020019531,0.022705078,0.778564453,-5612.30127,2825.613281,5756.49707,59,1
37:12.2,-0.161628723,0.06068977,0.002794578,-0.206542969,-0.099365234,1.069335938,-5622.959473,2826.05835,5755.429688,59,1
37:12.4,-0.528786361,0.097937644,0.045363583,-0.129638672,-0.129882813,1.02734375,-5631.544434,2824.803223,5756.337891,59,1
37:12.6,-0.040307071,-0.002631628,-0.202068761,-0.140136719,-0.104003906,1.264648438,-5634.157715,2823.746826,5759.962891,103,1
37:12.8,0.826286972,-0.015044923,0.188756555,-0.075927734,0.002929688,1.300292969,-5632.803711,2824.421387,5759.010742,103,1
37:13.0,0.361220598,-0.325798631,0.326041579,-0.034179688,0.095947266,0.969238281,-5622.186523,2830.408203,5753.880371,103,1
37:13.2,-0.418989003,-0.118713602,-0.648156881,-0.075683594,0.150634766,0.731201172,-5610.950684,2829.671387,5754.044434,103,1
37:13.4,-0.356731832,0.023892559,-0.078264326,-0.065429688,0.120361328,0.835449219,-5613.028809,2825.322998,5756.486328,103,1
37:13.6,-0.627577126,0.116480142,-0.668909311,-0.016601563,0.223388672,0.6328125,-5611.702637,2824.580322,5758.447754,139,1
37:13.8,0.10103669,-0.075530425,0.16478698,-0.013183594,-0.003173828,0.846435547,-5613.849609,2821.949463,5759.829102,139,1
37:14.0,0.539497375,0.072928973,0.288769215,0.083251953,0.145263672,0.684326172,-5609.021973,2825.140869,5757.393066,139,1
37:14.2,-0.022413423,0.063883059,0.372310877,-0.043945313,-0.041748047,1.157714844,-5608.616211,2829.683105,5754.063477,139,1
37:14.4,-0.119790018,0.311315417,-0.239086449,-0.041015625,0.022705078,0.919921875,-5611.837402,2828.220215,5754.068359,139,1
37:14.6,-0.664673328,0.224581048,-0.63018918,-0.100585938,-0.001708984,1.130859375,-5623.956543,2826.937744,5755.241211,191,1
37:14.8,-0.091055945,0.11603009,0.291429788,-0.23828125,-0.041992188,1.397705078,-5632.50293,2823.219971,5758.838379,191,1
37:15.0,0.768837929,-0.178760275,0.204163313,-0.141357422,-0.062011719,1.245361328,-5625.591309,2824.940186,5758.314453,191,1
